a52dec 0.7.4-11
aalib 1.4rc5-14
aarch64-linux-gnu-binutils 2.37-1
aarch64-linux-gnu-gcc 11.2.0-1
aarch64-linux-gnu-glibc 2.34-1
aarch64-linux-gnu-linux-api-headers 5.8-1
accounts-qml-module 0.7-4
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-serif-jp-fonts 1.001-5
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alsa-card-profiles 1:0.3.39-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
amd-ucode 20210919.d526e04-1
aom 3.2.0-1
arc-gtk-theme 20210412-1
arc-icon-theme 20161122-3
archlinux-keyring 20210902-1
argon2 20190702-3
aribb24 1.0.3-3
ark 21.08.2-1
arm-none-eabi-binutils 2.37-1
arm-none-eabi-gcc 11.2.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attica 5.87.0-1
attr 2.5.1-1
audacity 1:2.4.1-4
audit 3.0.5-1
autoconf 2.71-1
autoconf-archive 1:2021.02.19-2
autogen 5.18.16-2
automake 1.16.5-1
avahi 0.8+22+gfd482a7-1
babl 0.1.88-2
baloo 5.87.0-1
baloo-widgets 21.08.2-1
base 2-2
bash 5.1.008-1
bdf-unifont 14.0.01-1
bind 9.16.21-1
binutils 2.36.1-3
bison 3.8.2-1
blas 3.10.0-1
blueman 2.2.2-1
bluez 5.62-1
bluez-libs 5.62-1
bluez-utils 5.62-1
boost-libs 1.76.0-1
box2d 2.4.1-1
breeze 5.23.1-1
breeze-icons 5.87.0-1
bridge-utils 1.7.1-1
brltty 6.4-1
brotli 1.0.9-4
btrfs-progs 5.14.2-1
bubblewrap 0.5.0-1
bullet 3.17-1
bzip2 1.0.8-4
c-ares 1.17.2-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.71-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
calibre 5.30.0-1
cantarell-fonts 1:0.303-1
cdparanoia 10.2-8
celt 0.11.3-4
cfitsio 1:4.0.0-1
chmlib 0.40-6
chromium 95.0.4638.54-2
cifs-utils 6.14-1
clang 12.0.1-1
clucene 2.3.3.4-11
cmake 3.21.3-1
colord 1.4.5-4
compiler-rt 12.0.1-2
confuse 3.3-3
containerd 1.5.7-1
convertlit 1.8-10
coreutils 9.0-2
crypto++ 8.5.0-2
cryptsetup 2.4.1-1
curl 7.79.1-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
dhcpcd 9.4.0-1
diffutils 3.8-1
discount 2.2.7-1
djvulibre 3.5.28-3
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
